dataid,local_15min,air1,air2,air3,airwindowunit1,aquarium1,bathroom1,bathroom2,bedroom1,bedroom2,bedroom3,bedroom4,bedroom5,battery1,car1,car2,circpump1,clotheswasher1,clotheswasher_dryg1,diningroom1,diningroom2,dishwasher1,disposal1,drye1,dryg1,freezer1,furnace1,furnace2,garage1,garage2,grid,heater1,heater2,heater3,housefan1,icemaker1,jacuzzi1,kitchen1,kitchen2,kitchenapp1,kitchenapp2,lights_plugs1,lights_plugs2,lights_plugs3,lights_plugs4,lights_plugs5,lights_plugs6,livingroom1,livingroom2,microwave1,office1,outsidelights_plugs1,outsidelights_plugs2,oven1,oven2,pool1,pool2,poollight1,poolpump1,pump1,range1,refrigerator1,refrigerator2,security1,sewerpump1,shed1,solar,solar2,sprinkler1,sumppump1,utilityroom1,venthood1,waterheater1,waterheater2,wellpump1,winecooler1,leg1v,leg2v
661,43104.5729166667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.14,,,,-3.251,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,3.823,,,,,,,,,,123.542,124.185
661,43104.5833333333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.016,,,,-2.809,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,3.248,,,,,,,,,,123.557,124.037
661,43104.59375,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-2.356,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,2.786,,,,,,,,,,123.459,123.894
661,43104.6041666667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-2.071,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.002,,,,,2.499,,,,,,,,,,123.429,123.886
661,43104.6145833333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.14,,,,-0.964,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,1.515,,,,,,,,,,123.226,123.701
661,43104.625,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.015,,,,-0.883,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.011,,,,,1.319,,,,,,,,,,123.247,123.672
661,43104.6354166667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-0.519,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.142,,,,,1.077,,,,,,,,,,123.195,123.584
661,43104.6458333333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.011,,,,-0.291,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.13,,,,,0.833,,,,,,,,,,123.135,123.441
661,43104.65625,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.139,,,,-0.081,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.102,,,,,0.719,,,,,,,,,,122.732,123.305
661,43104.6666666667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.015,,,,-0.134,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,0.548,,,,,,,,,,122.787,123.263
661,43104.6770833333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.01,,,,0.011,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,0.395,,,,,,,,,,122.719,123.191
661,43104.6875,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.01,,,,0.174,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,0.229,,,,,,,,,,122.733,123.085
661,43104.6979166667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.139,,,,0.395,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.002,,,,,0.134,,,,,,,,,,122.549,122.949
661,43104.7083333333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.074,,,,0.406,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,0.057,,,,,,,,,,122.408,122.823
661,43104.71875,0,,,,,0.003,,,,,,,,0.001,,,-0.001,,,,0,0,0,,,0.476,,,,0.928,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.046,,,,,0.007,,,,,,,,,,122.162,122.732
661,43104.7291666667,0,,,,,0.003,,,,,,,,0,,,-0.001,,,,0,0,0,,,0.461,,,,1.169,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.138,,,,,-0.004,,,,,,,,,,121.798,122.294
661,43104.7395833333,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0.001,,,0.137,,,,0.835,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.127,,,,,-0.004,,,,,,,,,,121.98,122.134
661,43104.75,0,,,,,0.003,,,,,,,,0,,,-0.001,,,,0,0,0,,,0.265,,,,0.906,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.068,,,,,-0.004,,,,,,,,,,121.885,122.221
661,43104.7604166667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.084,,,,0.658,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,121.911,122.1
661,43104.7708333333,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.194,,,,0.769,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,121.862,122.44
661,43104.78125,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.148,,,,0.723,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,121.924,122.386
661,43104.7916666667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.109,,,,0.685,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,121.943,122.417
661,43104.8020833333,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0,,,0.238,,,,0.948,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.002,,,,,-0.003,,,,,,,,,,121.918,122.356
661,43104.8125,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0.001,,,0.01,,,,1.063,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.072,,,,,-0.003,,,,,,,,,,121.953,122.391
661,43104.8229166667,0,,,,,0.003,,,,,,,,0,,,-0.001,,,,0,0,0.001,,,0.287,,,,1.493,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.137,,,,,-0.003,,,,,,,,,,121.885,122.446
661,43104.8333333333,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0.001,,,0.014,,,,1.209,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.126,,,,,-0.002,,,,,,,,,,122.072,122.449
661,43104.84375,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0,,,0.179,,,,1.308,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.059,,,,,-0.003,,,,,,,,,,121.937,122.36
661,43104.8541666667,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0,,,0.07,,,,1.141,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.003,,,,,,,,,,122.037,122.43
661,43104.8645833333,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0,,,0.143,,,,1.216,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.003,,,,,,,,,,122.122,122.589
661,43104.875,0,,,,,0.004,,,,,,,,0.007,,,0,,,,0,0,0,,,0.247,,,,1.357,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.002,,,,,-0.003,,,,,,,,,,122.157,122.685
661,43104.8854166667,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0,,,0.011,,,,1.069,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,122.384,122.711
661,43104.8958333333,0,,,,,0.004,,,,,,,,0.006,,,0,,,,0.001,0,0,,,0.011,,,,1.076,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,122.406,122.775
661,43104.90625,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0,,,0.157,,,,1.305,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.091,,,,,-0.003,,,,,,,,,,122.388,122.804
661,43104.9166666667,0,,,,,0.004,,,,,,,,0.006,,,0,,,,0.001,0,0.001,,,0.078,,,,1.276,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.136,,,,,-0.003,,,,,,,,,,122.56,122.905
661,43104.9270833333,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0.001,,,0.186,,,,1.329,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.126,,,,,-0.003,,,,,,,,,,122.63,122.981
661,43104.9375,0,,,,,0.004,,,,,,,,0.007,,,0,,,,0.001,0,0,,,0.042,,,,1.062,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.055,,,,,-0.004,,,,,,,,,,122.792,123.136
661,43104.9479166667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.141,,,,1.103,,,,,,,,,0.004,0.003,,,,,,,,,0.003,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,122.626,123.22
661,43104.9583333333,0,,,,,0.004,,,,,,,,0.007,,,0,,,,0.001,0,0,,,0.199,,,,0.901,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,122.789,123.256
661,43104.96875,0,,,,,0.004,,,,,,,,0,,,0,,,,0.001,0,0,,,0.197,,,,0.867,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,122.897,123.358
661,43104.9791666667,0,,,,,0.004,,,,,,,,0.001,,,0,,,,0.001,0,0,,,0.109,,,,0.745,,,,,,,,,0.004,0.003,,,,,,,,,0.002,,,,,,,,,,,,0.002,,,,,-0.004,,,,,,,,,,122.975,123.413
